iter	Passed	Remaining
0	146	146757
1	150	75031
2	154	51314
3	158	39519
4	163	32504
5	169	28015
6	173	24601
7	178	22109
8	184	20326
9	189	18761
10	193	17426
11	198	16352
12	203	15432
13	207	14631
14	212	13932
15	216	13329
16	220	12768
17	224	12270
18	229	11832
19	233	11435
20	237	11085
21	242	10765
22	246	10463
23	250	10179
24	254	9929
25	259	9717
26	263	9512
27	268	9315
28	271	9083
29	274	8861
30	276	8651
31	278	8434
32	280	8227
33	282	8037
34	285	7861
35	287	7686
36	288	7511
37	290	7358
38	292	7204
39	293	7052
40	295	6904
41	296	6771
42	298	6650
43	300	6522
44	301	6400
45	302	6281
46	304	6166
47	305	6054
48	306	5947
49	307	5843
50	308	5744
51	309	5649
52	311	5558
53	312	5469
54	313	5384
55	314	5302
56	315	5223
57	316	5148
58	318	5073
59	319	5002
60	320	4933
61	321	4866
62	322	4801
63	324	4740
64	325	4679
65	326	4619
66	327	4562
67	328	4499
68	329	4445
69	330	4393
70	331	4341
71	333	4292
72	334	4243
73	335	4195
74	336	4149
75	337	4106
76	338	4062
77	340	4019
78	341	3977
79	342	3937
80	343	3897
81	344	3859
82	345	3820
83	346	3783
84	347	3743
85	349	3709
86	349	3670
87	350	3636
88	351	3603
89	353	3570
90	354	3539
91	355	3508
92	356	3477
93	357	3449
94	358	3419
95	360	3391
96	361	3363
97	362	3336
98	363	3309
99	364	3282
100	365	3257
101	366	3227
102	367	3202
103	368	3177
104	370	3154
105	371	3131
106	372	3108
107	373	3086
108	374	3063
109	375	3041
110	377	3019
111	378	2998
112	379	2977
113	380	2956
114	381	2936
115	382	2914
116	383	2894
117	384	2875
118	385	2855
119	386	2836
120	388	2819
121	389	2803
122	390	2781
123	391	2764
124	392	2747
125	393	2730
126	394	2714
127	395	2695
128	397	2680
129	398	2667
130	399	2651
131	400	2635
132	402	2620
133	403	2606
134	404	2592
135	405	2577
136	406	2562
137	407	2547
138	409	2533
139	410	2519
140	411	2506
141	412	2492
142	413	2479
143	414	2465
144	415	2452
145	417	2439
146	418	2427
147	419	2414
148	420	2403
149	421	2391
150	423	2378
151	424	2366
152	425	2354
153	426	2342
154	427	2331
155	428	2319
156	429	2308
157	431	2296
158	432	2286
159	433	2274
160	434	2264
161	435	2253
162	436	2242
163	437	2232
164	439	2222
165	440	2211
166	441	2201
167	442	2191
168	443	2181
169	444	2171
170	446	2162
171	447	2152
172	448	2142
173	449	2132
174	450	2123
175	451	2114
176	452	2104
177	453	2095
178	454	2086
179	456	2077
180	456	2066
181	457	2057
182	459	2049
183	460	2041
184	461	2032
185	462	2024
186	463	2016
187	464	2008
188	466	2000
189	467	1991
190	468	1983
191	469	1975
192	470	1967
193	471	1960
194	473	1952
195	474	1945
196	475	1937
197	476	1929
198	477	1922
199	478	1915
200	480	1908
201	481	1901
202	482	1893
203	483	1886
204	484	1879
205	485	1872
206	486	1865
207	488	1858
208	489	1851
209	490	1844
210	491	1837
211	492	1830
212	493	1824
213	494	1817
214	495	1810
215	497	1804
216	498	1798
217	499	1791
218	500	1785
219	501	1778
220	502	1772
221	503	1765
222	505	1759
223	506	1754
224	507	1747
225	508	1741
226	509	1735
227	510	1729
228	511	1723
229	513	1717
230	514	1712
231	515	1706
232	516	1701
233	517	1695
234	519	1689
235	520	1683
236	521	1677
237	522	1672
238	523	1666
239	524	1661
240	525	1655
241	526	1650
242	528	1645
243	529	1639
244	530	1634
245	531	1629
246	532	1624
247	534	1619
248	535	1614
249	536	1608
250	537	1604
251	538	1598
252	539	1593
253	541	1589
254	542	1584
255	543	1579
256	544	1574
257	545	1569
258	546	1564
259	547	1559
260	549	1554
261	550	1550
262	551	1545
263	552	1541
264	554	1537
265	555	1532
266	556	1527
267	557	1522
268	558	1518
269	559	1513
270	560	1509
271	562	1504
272	563	1499
273	564	1495
274	565	1490
275	566	1486
276	568	1483
277	569	1478
278	570	1474
279	571	1470
280	573	1466
281	574	1462
282	575	1458
283	577	1455
284	578	1451
285	579	1447
286	580	1443
287	582	1439
288	583	1435
289	584	1430
290	585	1426
291	586	1422
292	587	1418
293	589	1414
294	590	1410
295	591	1406
296	592	1402
297	593	1399
298	595	1395
299	596	1391
300	597	1387
301	598	1383
302	599	1379
303	600	1375
304	602	1371
305	603	1368
306	604	1364
307	605	1360
308	606	1356
309	607	1353
310	609	1349
311	610	1345
312	611	1342
313	612	1338
314	613	1334
315	614	1331
316	616	1327
317	617	1323
318	618	1320
319	619	1316
320	620	1312
321	621	1309
322	622	1305
323	624	1302
324	625	1298
325	626	1295
326	627	1291
327	628	1287
328	629	1284
329	630	1281
330	632	1277
331	633	1274
332	634	1270
333	635	1267
334	636	1264
335	637	1260
336	639	1257
337	640	1254
338	641	1250
339	642	1247
340	643	1243
341	644	1240
342	645	1237
343	647	1233
344	648	1230
345	649	1227
346	650	1223
347	651	1220
348	652	1217
349	653	1213
350	654	1210
351	655	1207
352	657	1204
353	658	1201
354	659	1198
355	660	1195
356	661	1191
357	662	1188
358	663	1185
359	665	1182
360	666	1179
361	667	1176
362	668	1173
363	669	1170
364	670	1166
365	671	1164
366	673	1161
367	674	1158
368	675	1155
369	676	1152
370	677	1149
371	679	1146
372	680	1143
373	681	1140
374	682	1137
375	683	1134
376	684	1131
377	686	1129
378	687	1126
379	688	1123
380	689	1120
381	690	1117
382	692	1115
383	693	1112
384	694	1109
385	695	1106
386	697	1104
387	698	1101
388	699	1098
389	700	1096
390	702	1093
391	703	1090
392	704	1088
393	705	1085
394	706	1082
395	708	1080
396	709	1077
397	710	1074
398	711	1071
399	712	1069
400	713	1066
401	715	1063
402	716	1060
403	717	1058
404	718	1055
405	719	1052
406	720	1050
407	721	1047
408	723	1044
409	724	1042
410	725	1039
411	726	1036
412	727	1034
413	728	1031
414	730	1029
415	731	1026
416	732	1023
417	733	1021
418	734	1018
419	736	1016
420	737	1014
421	738	1011
422	740	1009
423	741	1006
424	742	1004
425	743	1001
426	744	999
427	745	996
428	747	994
429	748	992
430	749	989
431	750	987
432	752	985
433	753	982
434	754	980
435	755	977
436	756	975
437	758	972
438	759	970
439	760	967
440	761	965
441	762	962
442	763	960
443	764	957
444	766	955
445	767	952
446	768	950
447	769	948
448	770	945
449	771	943
450	773	941
451	774	938
452	775	936
453	776	934
454	777	931
455	778	929
456	780	926
457	781	924
458	782	922
459	783	919
460	784	917
461	785	915
462	787	912
463	788	910
464	789	908
465	790	906
466	791	903
467	793	901
468	794	899
469	795	897
470	796	894
471	797	892
472	799	890
473	800	888
474	801	886
475	802	883
476	804	881
477	805	879
478	806	877
479	807	874
480	808	872
481	809	870
482	810	868
483	812	865
484	813	863
485	814	861
486	815	859
487	816	856
488	817	854
489	819	852
490	820	850
491	821	848
492	822	845
493	823	843
494	824	841
495	825	839
496	827	837
497	828	834
498	829	832
499	830	830
500	831	828
501	832	826
502	834	824
503	835	821
504	836	819
505	837	817
506	838	815
507	839	813
508	840	811
509	842	809
510	843	807
511	844	804
512	846	803
513	847	801
514	848	799
515	849	796
516	850	794
517	851	792
518	853	790
519	854	788
520	855	786
521	856	784
522	857	782
523	858	780
524	860	778
525	861	776
526	862	774
527	863	772
528	864	770
529	866	768
530	867	766
531	868	763
532	869	761
533	870	759
534	871	757
535	873	755
536	874	753
537	875	751
538	876	749
539	877	747
540	878	745
541	879	743
542	881	741
543	882	739
544	883	737
545	884	735
546	885	733
547	886	731
548	888	729
549	889	727
550	890	725
551	891	723
552	892	721
553	894	719
554	895	717
555	896	715
556	897	713
557	898	711
558	900	710
559	901	708
560	902	706
561	903	704
562	904	702
563	905	700
564	906	698
565	907	696
566	908	694
567	910	692
568	911	690
569	912	688
570	913	686
571	914	684
572	915	682
573	917	680
574	918	678
575	919	676
576	920	674
577	921	672
578	922	670
579	923	668
580	925	667
581	926	665
582	927	663
583	928	661
584	929	659
585	930	657
586	932	655
587	933	653
588	934	652
589	935	650
590	936	648
591	937	646
592	939	644
593	940	642
594	941	640
595	942	639
596	943	637
597	944	635
598	946	633
599	947	631
600	948	629
601	949	627
602	950	625
603	951	624
604	953	622
605	954	620
606	955	618
607	956	616
608	957	614
609	958	613
610	960	611
611	961	609
612	962	607
613	963	605
614	964	603
615	965	601
616	966	600
617	968	598
618	969	596
619	970	594
620	971	593
621	972	591
622	974	589
623	975	587
624	976	585
625	977	584
626	978	582
627	979	580
628	980	578
629	982	576
630	983	575
631	984	573
632	986	571
633	987	570
634	988	568
635	989	566
636	991	564
637	992	563
638	993	561
639	994	559
640	995	557
